"",gene_symbol,GSM1545535,GSM1545536,GSM1545537,GSM1545538,GSM1545539,GSM1545540,GSM1545541,GSM1545542,GSM1545543,GSM1545544,GSM1545545
ENSMUSG00000021259,Cyp46a1,1.70158,0.78244,1.87797,6.26802,5.27402,0.47857,1.06315,7.96882,1.66734,0.96956,1.60041
ENSMUSG00000021260,Hhipl1,0.37222,0.14671,12.11517,1.60132,1.387,0.12534,0.61778,1.75314,3.87838,0.0808,0.12976
ENSMUSG00000021262,Evl,13.45313,8.24003,29.452,59.82829,66.40474,13.47965,16.34955,58.06085,43.27836,6.26171,14.79294
ENSMUSG00000021263,Degs2,3.16388,1.02695,3.89334,5.73424,4.19525,1.93706,4.06584,5.51443,3.73339,0.92916,2.29247
ENSMUSG00000021264,Yy1,84.52074,69.36785,121.74716,97.51264,89.55565,74.121,76.41762,88.40614,81.51846,76.31207,81.23143
ENSMUSG00000021265,Slc25a29,6.14165,5.5015,26.29152,5.88675,5.73636,7.828,9.32413,5.73755,6.52438,7.11007,4.54169
ENSMUSG00000021266,Wars,42.80541,114.11342,45.89566,58.24222,59.64098,94.96148,54.27821,45.58167,72.05811,101.03572,52.12134
ENSMUSG00000021268,Meg3,1.70158,2.76298,7.99281,9.54691,8.39049,0.85458,7.06852,19.77862,0.76118,2.1815,6.57464
ENSMUSG00000021270,Hsp90aa1,846.61652,748.96255,798.5936,1392.21639,1147.85337,794.63868,907.78791,1251.59946,998.77327,1796.62604,1568.22517
ENSMUSG00000021271,Zfp839,12.76186,10.83185,12.87094,4.39219,4.82881,9.71948,8.79255,5.24349,7.82925,12.887,11.46237
ENSMUSG00000021273,Fdft1,27.67729,83.96518,83.79851,50.05263,35.51404,52.95008,23.20257,42.9679,147.74088,94.28924,41.65382
ENSMUSG00000021275,Tecpr2,24.16777,20.63675,30.07036,18.16352,23.20228,18.57298,17.18283,15.88984,28.88849,18.50234,22.66521
ENSMUSG00000021276,Cinp,12.97456,14.47507,25.9938,30.44029,26.18176,13.98101,11.86707,18.08923,31.42575,13.65457,10.51078
